Epoch [169/200], Loss: 0.2981
Epoch [170/200], Loss: 0.2937
Epoch [171/200], Loss: 0.2902
Epoch [172/200], Loss: 0.2875
Epoch [173/200], Loss: 0.2879
Epoch [174/200], Loss: 0.2973
Epoch [175/200], Loss: 0.3783
Epoch [176/200], Loss: 0.2837
Epoch [177/200], Loss: 0.2784
Epoch [178/200], Loss: 0.2946
Epoch [179/200], Loss: 0.3729
Epoch [180/200], Loss: 0.3680
Epoch [181/200], Loss: 0.3630
Epoch [182/200], Loss: 0.3555
Epoch [183/200], Loss: 0.3722
Epoch [184/200], Loss: 0.2885
Epoch [185/200], Loss: 0.2776
Epoch [186/200], Loss: 0.2719
Epoch [187/200], Loss: 0.2692
Epoch [188/200], Loss: 0.2728
Epoch [189/200], Loss: 0.3001
Epoch [190/200], Loss: 0.3703
Epoch [191/200], Loss: 0.2700
Epoch [192/200], Loss: 0.2613
Epoch [193/200], Loss: 0.2572
Epoch [194/200], Loss: 0.2549
Epoch [195/200], Loss: 0.2570
Epoch [196/200], Loss: 0.2666
Epoch [197/200], Loss: 0.3264
Epoch [198/200], Loss: 0.2705
Epoch [199/200], Loss: 0.2746
Epoch [200/200], Loss: 0.2679
Training one cluster took 300.45 seconds
2022-07-20, cluster_A, host_1, disk1, 160.94256106708426, F
2022-07-20, cluster_A, host_1, disk2, 175.98551451430194, F
2022-07-20, cluster_A, host_1, disk3, 241.2609931256261, F
2022-07-20, cluster_A, host_1, disk4, 179.63644809606467, F
2022-07-20, cluster_A, host_1, disk5, 219.97346538801196, F
2022-07-20, cluster_A, host_1, disk6, 163.3787895346991, F
2022-07-20, cluster_A, host_1, disk7, 205.3332904392974, F
2022-07-20, cluster_A, host_1, disk8, 215.68857497884758, F
2022-07-20, cluster_A, host_1, disk9, 156.3974113972425, F
2022-07-20, cluster_A, host_1, disk10, 207.1416976156035, F
2022-07-20, cluster_A, host_1, disk11, 185.47641662647797, F
2022-07-20, cluster_A, host_1, disk12, 164.29502273134474, F
2022-07-20, cluster_A, host_10, disk1, 192.35246224857903, F
2022-07-20, cluster_A, host_10, disk2, 193.99960976239763, F
2022-07-20, cluster_A, host_10, disk3, 262.66440060173625, F
2022-07-20, cluster_A, host_10, disk4, 222.51949147113572, F
2022-07-20, cluster_A, host_10, disk5, 133.6226989293455, F
2022-07-20, cluster_A, host_10, disk6, 204.7642628354296, F
2022-07-20, cluster_A, host_10, disk7, 198.94477725599126, F
2022-07-20, cluster_A, host_10, disk8, 199.24501173509776, F
2022-07-20, cluster_A, host_10, disk9, 216.2927797532837, F
2022-07-20, cluster_A, host_10, disk10, 219.11573936133394, F
2022-07-20, cluster_A, host_10, disk11, 260.43646728328014, F
2022-07-20, cluster_A, host_10, disk12, 195.73018664256324, F
2022-07-20, cluster_A, host_11, disk1, 54.972311026985636, F
2022-07-20, cluster_A, host_11, disk2, 60.24622303718666, F
2022-07-20, cluster_A, host_11, disk3, 58.01933916134946, F
2022-07-20, cluster_A, host_11, disk4, 53.83057349043516, F
2022-07-20, cluster_A, host_11, disk5, 63.02935867042987, F
2022-07-20, cluster_A, host_11, disk6, 64.10722631344372, F
2022-07-20, cluster_A, host_11, disk7, 49.92458160079364, F
2022-07-20, cluster_A, host_11, disk8, 69.45142438831397, F
2022-07-20, cluster_A, host_11, disk9, 57.58346332106969, F
2022-07-20, cluster_A, host_11, disk10, 76.42185830450795, F
2022-07-20, cluster_A, host_11, disk11, 59.94237258129368, F
2022-07-20, cluster_A, host_11, disk12, 66.25970288448511, F
2022-07-20, cluster_A, host_12, disk1, 261.30276913686316, F
2022-07-20, cluster_A, host_12, disk2, 216.9008007045899, F
2022-07-20, cluster_A, host_12, disk3, 191.2468166326778, F
2022-07-20, cluster_A, host_12, disk4, 164.32792500319297, F
2022-07-20, cluster_A, host_12, disk5, 186.85250720771813, F
2022-07-20, cluster_A, host_12, disk6, 210.25866547596254, F
2022-07-20, cluster_A, host_12, disk7, 182.36467881785433, F
2022-07-20, cluster_A, host_12, disk8, 282.29987190147295, F
2022-07-20, cluster_A, host_12, disk9, 212.89423909526838, F
2022-07-20, cluster_A, host_12, disk10, 179.99363061803496, F
2022-07-20, cluster_A, host_12, disk11, 183.74709490136175, F
2022-07-20, cluster_A, host_12, disk12, 153.51554806761388, F
2022-07-20, cluster_A, host_13, disk1, 176.99284793679365, F
2022-07-20, cluster_A, host_13, disk2, 191.02641889155709, F
2022-07-20, cluster_A, host_13, disk3, 312.54533275760286, F
2022-07-20, cluster_A, host_13, disk4, 287.65322429253956, F
2022-07-20, cluster_A, host_13, disk5, 172.85919985136624, F
2022-07-20, cluster_A, host_13, disk6, 185.43866542552541, F
2022-07-20, cluster_A, host_13, disk7, 204.67399376820597, F
2022-07-20, cluster_A, host_13, disk8, 196.93545226033436, F
2022-07-20, cluster_A, host_13, disk9, 195.07889936034223, F
2022-07-20, cluster_A, host_13, disk10, 223.27348048609758, F
2022-07-20, cluster_A, host_13, disk11, 206.51567403183432, F
2022-07-20, cluster_A, host_13, disk12, 215.86208513053052, F
2022-07-20, cluster_A, host_14, disk1, 267.25584973559563, F
2022-07-20, cluster_A, host_14, disk2, 242.43029504579607, F
2022-07-20, cluster_A, host_14, disk3, 145.5457931673239, F
2022-07-20, cluster_A, host_14, disk4, 238.1352060532833, F
2022-07-20, cluster_A, host_14, disk5, 176.6394157769706, F
2022-07-20, cluster_A, host_14, disk6, 190.34874545404054, F
2022-07-20, cluster_A, host_14, disk7, 163.44528661414023, F
2022-07-20, cluster_A, host_14, disk8, 172.34324022376586, F
2022-07-20, cluster_A, host_14, disk9, 216.42540902391343, F
2022-07-20, cluster_A, host_14, disk10, 152.45878705155275, F
2022-07-20, cluster_A, host_14, disk11, 233.13366597183648, F
2022-07-20, cluster_A, host_14, disk12, 157.4029315891493, F
2022-07-20, cluster_A, host_15, disk1, 49.19922502120544, F
2022-07-20, cluster_A, host_15, disk2, 63.559684566628725, F
2022-07-20, cluster_A, host_15, disk3, 74.23811271590574, F
2022-07-20, cluster_A, host_15, disk4, 50.91801878407781, F
2022-07-20, cluster_A, host_15, disk5, 67.81269404010311, F
2022-07-20, cluster_A, host_15, disk6, 65.60984563947515, F
